year,month,year_month,year_month_id,city,value
2018,Jan,2018-01-01,1,Ho Chi Minh city,41.26842105
2018,Feb,2018-02-01,2,Ho Chi Minh city,42.64791667
2018,Mar,2018-03-01,3,Ho Chi Minh city,28.26586022
2018,Apr,2018-04-01,4,Ho Chi Minh city,22.27644444
2018,May,2018-05-01,5,Ho Chi Minh city,28.1574124
2018,Jun,2018-06-01,6,Ho Chi Minh city,19.7834965
2018,Jul,2018-07-01,7,Ho Chi Minh city,15.35384615
2018,Aug,2018-08-01,8,Ho Chi Minh city,19.29148649
2018,Sep,2018-09-01,9,Ho Chi Minh city,20.39138889
2018,Oct,2018-10-01,10,Ho Chi Minh city,26.92768817
2018,Nov,2018-11-01,11,Ho Chi Minh city,22.89117647
2018,Dec,2018-12-01,12,Ho Chi Minh city,28.14151515
2019,Jan,2019-01-01,13,Ho Chi Minh city,32.75798319
2019,Feb,2019-02-01,14,Ho Chi Minh city,18.8546131
2019,Mar,2019-03-01,15,Ho Chi Minh city,14.91041667
2019,Apr,2019-04-01,16,Ho Chi Minh city,17.0642547
2019,May,2019-05-01,17,Ho Chi Minh city,23.945
2019,Jun,2019-06-01,18,Ho Chi Minh city,19.53603352
2019,Jul,2019-07-01,19,Ho Chi Minh city,20.18590308
2019,Aug,2019-08-01,20,Ho Chi Minh city,18.72972973
2019,Sep,2019-09-01,21,Ho Chi Minh city,27.00377095
2019,Oct,2019-10-01,22,Ho Chi Minh city,37.25
2019,Nov,2019-11-01,23,Ho Chi Minh city,46.03159785
2019,Dec,2019-12-01,24,Ho Chi Minh city,37.93797297
2020,Jan,2020-01-01,25,Ho Chi Minh city,32.7394844
2020,Feb,2020-02-01,26,Ho Chi Minh city,28.71522989
2020,Mar,2020-03-01,27,Ho Chi Minh city,18.17905405
2020,Apr,2020-04-01,28,Ho Chi Minh city,21.16785206
2020,May,2020-05-01,29,Ho Chi Minh city,17.07296196
2020,Jun,2020-06-01,30,Ho Chi Minh city,23.26694561
2020,Jul,2020-07-01,31,Ho Chi Minh city,21.48184282
2020,Aug,2020-08-01,32,Ho Chi Minh city,17.56243243
2020,Sep,2020-09-01,33,Ho Chi Minh city,18.865243
2020,Oct,2020-10-01,34,Ho Chi Minh city,19.16760753
2020,Nov,2020-11-01,35,Ho Chi Minh city,29.51944444
2020,Dec,2020-12-01,36,Ho Chi Minh city,28.69541779